date,litecoin,bitcoin,monero,stellar,tether,nem,ethereum,steem,waves,neo,zcash,komodo,nano,iota,eos,cryptocom,bitcoincash,ox,loopring,kybernetwork,cardano,powerledger,cryptonex,nebulastoken,nuls,gifto,biboxtoken,polymathnetwork,truechain,ontology,ren,ravencoin,loomnetwork,educare,mixin,nexo,nkn,vechain,seele,insightchain,bhpcoin,cryptocomcoin,grin,riftoken,oceanprotocol,unussedleo,silverway,ftxtoken,algorand,coinmeet
20170302,3.92423,1251.01,13.1136,0.001787,1,0.008818,19.0302,0.094939,0.188478,0.119301,39.6677,0.096873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170303,3.92082,1274.99,13.9105,0.001763,1,0.008887,19.459,0.090665,0.202294,0.122444,41.801,0.087649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170304,3.884,1255.15,13.6728,0.001753,1.00001,0.009567,18.6189,0.09534,0.195779,0.119901,41.6425,0.088057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170305,3.90156,1267.12,15.1814,0.001738,1.00001,0.011338,19.3023,0.099061,0.22879,0.121757,39.4373,0.091104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170306,3.9214,1272.83,15.4127,0.001876,1.00006,0.010823,19.6057,0.096384,0.239479,0.12345,40.3155,0.102734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170307,3.82148,1223.54,13.5339,0.002011,1.00002,0.01097,18.8886,0.091083,0.214041,0.122573,38.0252,0.08701,0.008675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170308,3.776,1150,12.4721,0.001835,1.00001,0.009314,16.6513,0.080591,0.195051,0.116242,35.7445,0.081625,0.009707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170309,3.83842,1188.49,13.0297,0.00179,0.999906,0.009042,17.7547,0.081502,0.205576,0.132026,36.7191,0.087262,0.008343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170310,3.75217,1116.72,13.2142,0.001733,0.99999,0.009141,19.3323,0.072682,0.199242,0.131476,35.3471,0.07834,0.007292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170311,3.798,1175.83,14.6868,0.001788,1.00004,0.009836,21.4725,0.07233,0.219194,0.142142,39.7151,0.08244,0.00753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170312,3.84257,1221.38,16.7919,0.001847,1.00008,0.009894,23.4377,0.072172,0.256818,0.140575,40.1551,0.085742,0.007878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170313,4.17054,1231.92,18.1326,0.001965,1.00004,0.010914,28.5929,0.086399,0.2724,0.136979,47.6625,0.037067,0.007947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170314,4.05519,1240,17.7598,0.001918,1.00002,0.011614,28.6546,0.083931,0.253599,0.133681,45.1234,0.009309,0.007936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170315,4.16087,1249.61,18.9837,0.001953,1.00001,0.011238,35.0559,0.07874,0.304406,0.128653,45.7346,0.061446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170316,4.2371,1187.81,22.4835,0.00197,1.00003,0.011102,46.3458,0.095903,0.310488,0.131867,48.7808,0.098379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170317,4.0551,1100.23,22.3512,0.001957,1.00003,0.011788,46.828,0.127892,0.268144,0.139902,48.2696,0.099146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170318,3.96762,973.818,20.0662,0.001877,1.00003,0.011958,34.1602,0.176617,0.261998,0.158987,64.183,0.085611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170319,3.95641,1036.74,23.2876,0.001916,1.00005,0.016475,44.7401,0.198072,0.278302,0.15756,69.8861,0.081371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170320,4.03331,1054.23,22.5075,0.001995,1.00021,0.014328,43.3902,0.192157,0.284629,0.153898,72.4665,0.087977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170321,4.00922,1120.54,21.2863,0.002187,1.00003,0.0158,43.1451,0.160195,0.290301,0.164934,66.6386,0.089962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170322,3.93649,1049.14,21.4197,0.001983,1.00004,0.016312,42.3421,0.167159,0.272987,0.173143,69.2158,0.08861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170323,3.98003,1038.59,21.822,0.002251,1.00007,0.01502,43.6784,0.159054,0.27272,0.166412,66.6057,0.093382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170324,4.08396,937.52,21.0953,0.002108,0.999896,0.013891,53.1075,0.149915,0.280473,0.166465,64.5854,0.086811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170325,4.07062,972.779,20.135,0.002016,0.999916,0.01271,51.25,0.180641,0.301237,0.167305,63.3968,0.091752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170326,4.06074,966.725,19.6117,0.002018,1.00001,0.013527,50.5216,0.169063,0.318849,0.160384,59.93,0.106602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170327,4.07528,1045.77,19.6618,0.001892,1.00001,0.013332,49.6669,0.155637,0.361338,0.186426,54.5387,0.13374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170328,4.15568,1047.15,19.8068,0.002043,1.00001,0.013647,50.7749,0.171042,0.374437,0.220632,64.692,0.171518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170329,4.1859,1039.97,21.1449,0.001973,0.999947,0.014892,53.1261,0.159343,0.401914,0.212428,63.3641,0.150957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170330,6.98063,1026.43,20.8784,0.002302,0.999986,0.014036,52.2058,0.162995,0.381375,0.210556,66.9478,0.15724,0.010552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170331,6.66706,1071.79,20.5371,0.002356,1,0.014928,50.0373,0.17235,0.376973,0.203541,70.2593,0.17223,0.014469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170401,6.88352,1080.5,21.495,0.002631,0.999586,0.017632,50.6995,0.174065,0.350208,0.205017,64.5907,0.183477,0.013506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170402,7.7445,1102.17,20.1395,0.004183,1.00095,0.016086,48.7487,0.164667,0.344632,0.20548,63.7258,0.177399,0.014516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170403,8.07058,1143.81,20.3284,0.003124,0.999752,0.02,44.3564,0.173645,0.383308,0.199703,63.4458,0.182041,0.014869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170404,8.28936,1133.25,21.3534,0.003046,1.00002,0.018258,44.6419,0.166656,0.370456,0.185002,62.7047,0.17985,0.012636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170405,11.094,1124.78,19.6174,0.003131,1.00011,0.017454,45.304,0.166263,0.417318,0.184719,59.0826,0.192497,0.010157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170406,10.2517,1182.68,19.2707,0.002824,0.999939,0.016597,43.2421,0.164358,0.400497,0.18643,57.9035,0.170597,0.010289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170407,9.37156,1176.9,19.3867,0.002767,0.999873,0.016876,42.1626,0.150631,0.38624,0.188531,59.7959,0.174317,0.009286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170408,9.91621,1175.95,20.8306,0.00292,0.999716,0.018439,44.3071,0.162552,0.380812,0.190221,63.5842,0.167815,0.009678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170409,8.70985,1187.87,20.6763,0.002745,0.99996,0.020015,43.267,0.154306,0.392766,0.188861,62.5474,0.170422,0.008327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170410,8.91704,1187.13,21.8284,0.002788,0.999931,0.020881,43.4352,0.15611,0.414832,0.207874,64.8221,0.162459,0.008488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170411,8.85383,1205.01,21.3556,0.002782,0.999843,0.019801,43.4072,0.155738,0.447008,0.197826,61.8329,0.158095,0.009761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170412,10.7856,1200.37,21.764,0.003036,0.999562,0.020753,46.2873,0.163489,0.418725,0.195553,61.9998,0.153767,0.009483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170413,10.1495,1169.28,21.4805,0.00306,0.999612,0.021136,50.2194,0.160473,0.437049,0.191686,64.6583,0.138843,0.010371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170414,10.39,1167.54,20.5914,0.003128,0.998986,0.022076,47.5741,0.162613,0.429333,0.192958,71.1712,0.138057,0.00988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170415,10.7946,1172.52,20.7108,0.003385,0.999939,0.024322,49.1015,0.198606,0.425766,0.192164,72.8662,0.152107,0.01067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170416,10.7149,1182.94,20.4595,0.003737,0.999458,0.024114,48.7185,0.215557,0.432685,0.192076,71.5023,0.160822,0.010658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170417,10.4216,1193.91,20.5611,0.003555,0.999288,0.026132,48.3046,0.250412,0.444683,0.191489,70.2354,0.17515,0.009277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170418,10.3201,1211.67,21.0587,0.003706,0.999616,0.028337,50.7075,0.236603,0.431094,0.180479,71.7848,0.181739,0.00939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170419,9.65808,1210.29,20.3945,0.003574,0.999523,0.032498,48.3053,0.242122,0.457649,0.189408,70.9412,0.180418,0.008714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170420,10.3349,1229.08,20.2405,0.003368,0.998275,0.028482,49.6722,0.22158,0.457231,0.184725,67.3169,0.169079,0.008112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170421,11.2278,1222.05,20.2927,0.003466,0.984169,0.032971,48.2244,0.233277,0.4605,0.178122,68.1429,0.166083,0.007357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170422,13.0646,1231.71,20.1221,0.003506,0.940929,0.03197,48.553,0.222245,0.478201,0.183058,68.674,0.166617,0.009669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170423,13.9391,1207.21,19.7183,0.003506,0.921333,0.031441,48.4893,0.228103,0.559936,0.17496,66.3356,0.164174,0.010285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170424,14.9655,1250.15,19.5584,0.00384,0.91789,0.034198,50.0315,0.2305,0.562138,0.173758,67.9919,0.164733,0.011489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170425,15.2128,1265.49,19.6525,0.003808,0.913595,0.037436,49.8912,0.225193,0.549486,0.183504,69.1658,0.159364,0.01116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170426,14.8481,1281.08,19.3718,0.003835,0.92105,0.049937,52.7203,0.233845,0.557545,0.184577,71.9961,0.157722,0.011447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170427,14.622,1317.73,21.2078,0.00397,0.924351,0.046975,62.1677,0.241152,0.559958,0.202092,76.8223,0.163421,0.011776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170428,14.3415,1316.48,22.3481,0.004551,0.934542,0.048639,70.1592,0.26079,0.600954,0.229255,83.9478,0.162859,0.011531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170429,15.7421,1321.79,22.7623,0.004971,0.937193,0.048039,68.3769,0.291694,0.58611,0.271729,96.082,0.191674,0.012022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170430,15.7056,1347.89,23.7242,0.00484,0.936854,0.050966,79.0212,0.277944,0.593739,0.360099,93.2024,0.191746,0.016603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170501,15.9177,1421.6,22.7678,0.005138,0.935871,0.052053,76.297,0.267405,0.597523,0.318838,90.0507,0.216639,0.016189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170502,15.895,1452.82,23.0424,0.004834,0.932607,0.051829,77.2638,0.273466,0.6223,0.314833,91.926,0.234268,0.016913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170503,21.0426,1490.09,25.2,0.005197,0.933351,0.052956,79.7182,0.277054,0.669789,0.343782,91.0362,0.253099,0.015988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170504,23.3936,1537.67,25.9863,0.006628,0.945931,0.063401,96.9814,0.290931,0.715918,0.500309,99.5438,0.304475,0.015462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170505,26.2669,1555.45,28.4516,0.010877,0.955601,0.072928,94.3985,0.328089,0.732555,0.576426,103.641,0.298341,0.013329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170506,28.1598,1578.8,28.9759,0.021343,0.968619,0.073401,97.8135,0.403037,0.798015,0.58767,108.213,0.291869,0.015327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170507,30.2911,1596.71,32.7828,0.043984,0.96899,0.099328,94.0073,0.52751,0.789317,0.535792,103.827,0.30017,0.01577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170508,28.9582,1723.35,30.4683,0.03988,0.96726,0.118875,91.4204,1.02832,0.818904,0.496572,106.618,0.28323,0.016293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170509,33.583,1755.36,28.6592,0.027647,0.970487,0.111753,91.1629,0.769989,0.917445,0.44937,96.0878,0.260544,0.015102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170510,31.9621,1787.13,29.8409,0.031376,0.982,0.111377,89.5249,0.85029,1.20494,0.503894,96.9921,0.260571,0.0143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170511,30.7177,1848.57,29.5133,0.036203,0.983721,0.109908,89.8797,0.763039,1.20356,0.481077,95.1267,0.264902,0.014432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170512,27.4549,1724.24,28.6782,0.040706,0.97607,0.130036,88.6554,0.744853,1.10826,0.487684,97.4429,0.254643,0.014194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170513,28.912,1804.91,28.4699,0.037586,0.973648,0.127062,90.8354,0.727098,1.19113,0.484544,96.5762,0.268564,0.013479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170514,28.893,1808.91,28.5324,0.038648,0.981106,0.125946,90.7865,0.755364,1.37143,0.477543,96.7034,0.285307,0.014367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170515,25.3653,1738.43,27.7874,0.043552,0.967298,0.117825,92.4149,0.895444,1.40072,0.470057,93.5668,0.280109,0.014008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170516,23.3277,1734.45,26.264,0.049368,0.958591,0.1074,89.438,0.802864,1.25551,0.463667,90.6032,0.312876,0.015187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170517,25.4044,1839.09,26.9264,0.048568,0.970429,0.120358,89.8604,0.837306,1.34449,0.531643,92.6584,0.348723,0.016317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170518,28.3576,1888.65,30.3315,0.04627,0.967143,0.214931,96.9063,0.973278,1.38445,0.539481,94.9218,0.386295,0.016358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170519,27.6975,1987.71,31.8717,0.049576,1.0012,0.212863,129.527,1.05402,1.57419,0.63186,106.083,0.436474,0.019719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170520,27.506,2084.73,35.0959,0.053888,0.993431,0.225015,126.521,1.19049,1.63897,0.665485,108.229,0.470533,0.020527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170521,26.2982,2041.2,34.6406,0.060843,1.00008,0.244041,157.937,1.29924,1.76811,0.664141,119.815,0.562488,0.019803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170522,25.381,2173.4,36.1657,0.051003,1.00786,0.259399,174.261,1.13579,1.86765,0.720486,203.19,0.517656,0.02265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170523,32.1121,2320.42,55.6222,0.0555,1.0063,0.2651,181.952,1.24062,2.56878,0.877157,239.485,0.491337,0.02588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170524,34.4534,2443.64,45.382,0.051364,1.01686,0.261565,190.046,1.23332,2.7469,1.75706,238.598,0.504276,0.040638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170525,29.9002,2304.98,40.1155,0.040021,1.0366,0.206736,174.446,1.08183,2.3612,1.10608,224.457,0.455751,0.030537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170526,23.7483,2202.42,38.7116,0.041065,1.03621,0.182618,160.403,0.960876,2.48643,0.826549,197.88,0.47989,0.023705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170527,23.7353,2038.87,33.4119,0.033024,1.02369,0.19884,157.758,0.819755,2.24633,0.982348,190.823,0.414225,0.020707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170528,24.2206,2155.8,36.8426,0.035364,1.04244,0.208126,170.511,0.957411,2.46542,0.930106,196.318,0.479706,0.02324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170529,25.2125,2255.61,41.2086,0.037044,1.0216,0.208717,194.909,0.970867,2.67922,0.966765,205.569,0.468275,0.023415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170530,24.142,2175.47,39.786,0.031009,1.00951,0.186042,231.911,0.925792,2.384,1.02386,232.926,0.455183,0.027456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170531,25.2976,2286.41,41.826,0.034273,1.03628,0.202065,230.669,0.950807,2.95222,1.02527,235.67,0.500773,0.030935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170601,28.8034,2407.88,43.7036,0.043069,1.03057,0.230595,222.239,1.00214,3.44394,1.23752,249.272,0.555246,0.033287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170602,28.9447,2488.55,44.0047,0.040226,1.02388,0.227844,223.775,1.31601,4.52611,1.35194,241.682,0.892194,0.037652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170603,27.661,2515.35,42.37,0.039294,1.02322,0.215075,224.376,1.30027,5.18762,1.258,230.002,1.20458,0.037417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170604,27.9393,2511.81,42.8973,0.039989,1.01164,0.215562,245.332,1.3032,5.34606,1.2562,239.516,1.03393,0.035264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170605,30.8433,2686.81,48.2618,0.041507,1.0168,0.236163,248.464,1.71996,5.64315,1.27713,253.031,1.19351,0.038819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170606,30.551,2863.2,55.5683,0.045407,1.00483,0.233988,264.466,2.60126,5.50969,1.33861,259.355,1.14671,0.040414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170607,28.3947,2732.16,52.5361,0.047098,1.00898,0.209825,258.071,2.08741,5.26536,1.27783,262.79,1.16378,0.036579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170608,30.2119,2805.62,56.1925,0.05042,1.00476,0.219575,261.666,2.35693,5.82078,1.35771,272.238,1.18052,0.038424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170609,29.6816,2823.81,55.6235,0.047356,1.00067,0.215685,281.737,2.49353,6.3424,1.55393,281.13,1.36856,0.037406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170610,30.4417,2947.71,52.2831,0.042866,1.02437,0.202606,337.668,2.24162,5.82306,1.67774,328.663,1.60696,0.033294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170611,33.2163,2958.11,58.7012,0.045915,1.00817,0.218017,340.609,2.45409,6.32091,1.66993,331.099,1.59162,0.036007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170612,29.5035,2659.63,50.0403,0.039988,1.01776,0.202731,401.49,2.084,5.36448,1.50676,311.486,1.43125,0.029853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170613,30.6429,2717.02,51.8046,0.04186,1.00839,0.210863,397.537,2.37161,5.77156,1.80889,368.279,1.54919,0.036417,0.590255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170614,30.2247,2506.37,46.3029,0.039828,1.02516,0.201501,359.053,1.97325,5.08815,1.74108,387.49,1.41425,0.046045,0.528916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
